gene_ID score
FBtr0077497 0.348587273278307
FBtr0079135 0.0694562458488657
FBtr0335184 0.158299646568474
FBtr0071899 0.48111520310999
FBtr0100230 1.25996715599237e-14
FBtr0076510 0.247264582106887
FBtr0334957 0.0336809923587444
FBtr0078871 0.028970552011877
FBtr0074493 0.165039579737944
FBtr0070893 6.94329661005075e-15
FBtr0302854 7.62914197334693e-14
FBtr0080887 0.0186855028376681
FBtr0080891 0.0631766049391586
FBtr0081417 0.161516155473898
FBtr0079839 0.117819514385109
FBtr0087538 6.95609317277419e-17
FBtr0086669 0.352070084555387
FBtr0071528 0.0965262657198541
FBtr0089034 2.73908170275663e-16
FBtr0078183 0.25527964143987
FBtr0072977 0.0700392934165088
FBtr0074452 9.47606674277365e-17
FBtr0071092 0.124771173405579
FBtr0290229 3.95450224270816e-17
FBtr0335390 0.0147381561646278
FBtr0077712 0.0778213394646645
FBtr0290322 1.00895280076918e-15
FBtr0078432 1.09670981059532e-12
FBtr0089512 0.0912139548709888
FBtr0084808 0.107366117571381
FBtr0310267 0.0796558512559256
FBtr0080894 0.00975478078273722
FBtr0080921 0.0526383653565463
FBtr0078066 0.117706932863917
FBtr0079402 1.76209286840464e-16
FBtr0086512 0.0272471051678712
FBtr0088037 0.139610790341808
FBtr0077112 0.104865455598989
FBtr0077001 0.201245819512939
FBtr0085551 0.0638577483697137
FBtr0077244 3.58909207205642e-14
FBtr0070874 2.31567934312495e-14
FBtr0089505 0.540420368890333
FBtr0076943 1.48884071210119e-17
FBtr0082131 1.30898290249377e-15
FBtr0073675 2.83599377196733e-18
FBtr0302449 5.51111279428977e-16
FBtr0071049 1.69736429490355e-16
FBtr0071540 0.0628252719243778
FBtr0074881 0.0423997884809461
FBtr0333297 0.023746386700673
FBtr0076855 0.234570170411526
FBtr0082410 0.0187459616231077
FBtr0074514 0.0178977767087176
FBtr0290322 2.19457658051161e-16
FBtr0086579 0.0314644192207725
FBtr0329885 0.0792474886946216
FBtr0074823 7.16257918634774e-18
FBtr0072969 3.17646610593121e-15
FBtr0078683 0.0152765303268849
FBtr0303405 0.0374687603578997
FBtr0084150 6.13675486992851e-15
FBtr0085422 0.187646418195002
FBtr0273257 4.47733363221157e-15
FBtr0302702 7.83320424090154e-14
FBtr0088975 0.0503592160548135
FBtr0076573 2.68036932498657e-18
FBtr0083062 0.0239086666071675
FBtr0300131 9.01467285802397e-18
FBtr0082473 0.038094771461304
FBtr0309826 2.52721401746103e-14
FBtr0329838 0.0275577101968519
FBtr0079069 0.035749229683961
FBtr0333079 0.0808252597798714
FBtr0089490 0.0461022805772467
FBtr0085065 0.0913289390076164
FBtr0309069 0.0939429713060127
FBtr0085664 0.205008659859623
FBtr0070721 2.25900975360603e-15
FBtr0072141 3.22841206562692e-17
FBtr0088119 0.0218459348400357
FBtr0321280 5.81524415703764e-16
FBtr0078349 0.122137293097076
FBtr0084111 1.20086727812252e-17
FBtr0309986 0.0150979515709846
FBtr0111027 0.00730661492578588
FBtr0070896 0.113621867015539
FBtr0308091 0.0283363360285212
FBtr0086036 0.0106708094303628
FBtr0071772 0.0877391914280134
FBtr0073046 3.39325604813924e-14
FBtr0073217 0.307273883598513
FBtr0113195 0.147122045153299
FBtr0084780 0.216554764275074
FBtr0073436 0.0482963584067731
FBtr0089437 0.0610352740741437
FBtr0081392 6.99902697476876e-16
FBtr0079096 3.59113231233458e-17
FBtr0079350 0.0334447034132036
FBtr0072173 0.263058117612064
FBtr0088474 3.23278980530381e-17
FBtr0073306 2.56022870856113e-12
FBtr0334541 0.0176673564413194
FBtr0074333 0.0637104728049816
FBtr0070963 0.0960152729021231
FBtr0071430 0.108619070416633
FBtr0086535 0.0199192518739188
FBtr0071580 0.024183353535319
FBtr0076102 0.099413290108594
FBtr0332783 0.149331850668115
FBtr0333394 0.0700592952930297
FBtr0076574 1.62278738089095e-15
FBtr0083184 6.42753577670499e-17
FBtr0083218 0.0133830569601034
FBtr0082077 0.268980834133989
FBtr0074787 1.75992565569999e-16
FBtr0080275 5.22196249643577e-13
FBtr0080445 0.0159673581110072
FBtr0089710 0.038996529462438
FBtr0087826 1.00448208155681e-16
FBtr0087742 5.69195031363824e-15
FBtr0084148 0.0559879775556128
FBtr0085546 0.075110765539441
FBtr0081538 0.0324935876036267
FBtr0082891 0.205002304222361
FBtr0073692 0.0494052289336906
FBtr0307200 0.0735806762713126
FBtr0080829 5.30904488054805e-19
FBtr0079567 0.0203033300954153
FBtr0333169 0.0355499573175476
FBtr0087051 0.172893495706327
FBtr0088656 0.115558004721042
FBtr0113136 0.155554288989305
FBtr0076811 1.53030124634781e-18
FBtr0074739 0.0327552623510039
FBtr0077298 0.219865181640303
FBtr0080027 1.63371599290683e-14
FBtr0079590 0.0337099998512601
FBtr0087987 0.0372744828963732
FBtr0087631 0.294107507814269
FBtr0075629 1.25875126952013e-21
FBtr0334113 0.0163055048669687
FBtr0072549 1.04586719173381e-15
FBtr0082962 5.08216296093568e-13
FBtr0080461 3.35490888449575e-18
FBtr0077384 0.0138454198034395
FBtr0086044 3.88960578542557e-18
FBtr0076168 1.54722345489706e-18
FBtr0075101 0.105460680990355
FBtr0076791 0.0679642316584154
FBtr0331401 0.123691931439258
FBtr0084127 0.115531598948244
FBtr0081968 0.0449498460579439
FBtr0082078 0.17885625907934
FBtr0074750 2.27632836770914e-17
FBtr0304948 0.136855210164253
FBtr0075813 1.17898924843463e-17
FBtr0075220 5.05786464984509e-16
FBtr0072984 0.0298361938445375
FBtr0303004 2.40842630145915e-15
FBtr0076524 0.0497659596783162
FBtr0082390 0.0111313970701516
FBtr0301501 0.130886278908914
FBtr0079943 3.36200884397399e-15
FBtr0084175 0.0288515516023157
FBtr0078591 1.15976892951925e-17
FBtr0301707 0.0175154780426869
FBtr0085391 0.0554197289967374
FBtr0082424 0.0408946599952809
FBtr0073514 0.133195644336694
